strain	Antibiotic	Resistance.phenotype	WT_vs_nonWT	nonWT_binary	resistant	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact
2018-01-1007	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530483	SAMEA8399238	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1022	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530378	SAMEA8399239	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1024	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530365	SAMEA8399241	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1095	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530443	SAMEA8399242	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1097	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530459	SAMEA8399243	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1116	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530508	SAMEA8399244	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1117	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530353	SAMEA8399245	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1148	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530331	SAMEA8399246	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1176	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530488	SAMEA8399247	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1178	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530323	SAMEA8399248	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1214	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530399	SAMEA8399249	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1221	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530469	SAMEA8399250	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1256	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530379	SAMEA8399251	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1319	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530432	SAMEA8399252	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1320	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530499	SAMEA8399256	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1417	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530373	SAMEA8399258	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1418	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530370	SAMEA8399259	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1439	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530511	SAMEA8399260	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1440	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530447	SAMEA8399261	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1445	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530354	SAMEA8399262	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1446	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530487	SAMEA8399263	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1475	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530367	SAMEA8399264	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1584	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530395	SAMEA8399265	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1585	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530431	SAMEA8399266	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1593	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530504	SAMEA8399267	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1594	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530390	SAMEA8399268	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1649	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530451	SAMEA8399269	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1658	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530425	SAMEA8399270	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1683	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530428	SAMEA8399271	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1685	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530326	SAMEA8399272	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1768	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530445	SAMEA8399273	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1769	ciprofloxacin	S	wt (S)	0	0	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530374	SAMEA8399274	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1774	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530409	SAMEA8399275	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1775	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530463	SAMEA8399276	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1802	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530320	SAMEA8399281	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1803	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530490	SAMEA8399282	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1933	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530364	SAMEA8399283	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1945	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530406	SAMEA8399284	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1946	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530441	SAMEA8399285	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2050	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530512	SAMEA8399286	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2051	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530348	SAMEA8399287	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2084	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530516	SAMEA8399288	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2085	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530345	SAMEA8399289	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2124	ciprofloxacin	S	wt (S)	0	0	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530424	SAMEA8399290	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2125	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530449	SAMEA8399291	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-215	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530372	SAMEA8399295	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2151	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530481	SAMEA8399292	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2242	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530453	SAMEA8399298	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2248	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530344	SAMEA8399299	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2279	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530501	SAMEA8399300	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2280	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530491	SAMEA8399301	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2297	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530421	SAMEA8399303	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2353	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530435	SAMEA8399304	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2359	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530318	SAMEA8399309	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2360	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530416	SAMEA8399310	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2372	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530384	SAMEA8399311	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2406	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530400	SAMEA8399313	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2485	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530470	SAMEA8399314	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2486	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530358	SAMEA8399315	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2503	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530346	SAMEA8399317	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2544	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530456	SAMEA8399320	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2545	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530417	SAMEA8399321	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2615	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530484	SAMEA8399322	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2639	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530363	SAMEA8399323	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2640	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530404	SAMEA8399324	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2643	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530440	SAMEA8399325	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-2699	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530387	SAMEA8399326	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
