strain	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact	Source.Type	Host	Source.details	Infection.status	Country	City	Collection.Year
uk_8C20F	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276983	SAMEA1905018	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7C5G	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276969	SAMEA1905020	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_5A33J	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276967	SAMEA1905025	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17C24J	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276925	SAMEA1905026	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17B16A	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276984	SAMEA1905027	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8B10J	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276944	SAMEA1905029	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8C13H	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276977	SAMEA1905032	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17B10E	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276922	SAMEA1905034	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17C32H	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276987	SAMEA1905037	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8AL3	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276942	SAMEA1905039	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18B33D	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276936	SAMEA1905047	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17CA5	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276958	SAMEA1905052	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19C25H	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276949	SAMEA1905053	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8C29I	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276921	SAMEA1905055	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8C1H	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276978	SAMEA1905056	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8B22L	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276968	SAMEA1905057	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17C5I	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276923	SAMEA1905058	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17B15D	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276988	SAMEA1905062	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7B22C	ciprofloxacin	I	-	0.5	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276941	SAMEA1905066	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19C11G	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276937	SAMEA1905069	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19C33D	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276950	SAMEA1905071	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18B9E	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276986	SAMEA1905079	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17A18I	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276956	SAMEA1905082	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19A15J	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276938	SAMEA1905084	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19B20H	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276929	SAMEA1905088	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7A18A	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276980	SAMEA1905090	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18A5D	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276961	SAMEA1905092	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19B25H	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276928	SAMEA1905094	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19C17K	ciprofloxacin	I	-	0.5	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276948	SAMEA1905095	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8A21B	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276971	SAMEA1905097	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7B15G	ciprofloxacin	I	-	0.5	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276940	SAMEA1905100	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8B14D	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276973	SAMEA1905108	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17B14C	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276957	SAMEA1905111	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7C10A	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276972	SAMEA1905112	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7C30L	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276979	SAMEA1905113	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18A11I	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276962	SAMEA1905116	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7A35I	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276939	SAMEA1905117	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18B32C	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276930	SAMEA1905119	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7B15I	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276974	SAMEA1905124	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17A6I	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276982	SAMEA1905125	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17C30F	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276946	SAMEA1905126	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18A34K	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276963	SAMEA1905131	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8B35L	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276953	SAMEA1905134	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19B33C	ciprofloxacin	S	-	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276931	SAMEA1905137	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18C20K	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276926	SAMEA1905139	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17A9K	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276955	SAMEA1905141	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8A25G	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276975	SAMEA1905143	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18B24A	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276964	SAMEA1905144	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7C30H	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276981	SAMEA1905148	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18B24K	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276933	SAMEA1905149	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18C2A	ciprofloxacin	S	-	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276932	SAMEA1905169	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19A13I	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276947	SAMEA1905176	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18B10I	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276927	SAMEA1905187	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8C11D	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276954	SAMEA1905200	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
ERR474467	ciprofloxacin	R	-	1	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474467	SAMEA2273638	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	Ireland	-	2005
ERR474468	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474468	SAMEA2273642	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474469	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474469	SAMEA2273643	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474470	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474470	SAMEA2273644	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474474	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474474	SAMEA2273648	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474475	ciprofloxacin	R	-	2	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474475	SAMEA2273649	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474476	ciprofloxacin	R	-	32	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474476	SAMEA2273650	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474477	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474477	SAMEA2273651	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474478	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474478	SAMEA2273653	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474479	ciprofloxacin	S	-	0.03	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474479	SAMEA2273655	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474482	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474482	SAMEA2273658	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474483	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474483	SAMEA2273659	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474484	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474484	SAMEA2273660	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474485	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474485	SAMEA2273661	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474486	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474486	SAMEA2273663	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474487	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474487	SAMEA2273664	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474489	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474489	SAMEA2273666	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2005
ERR474490	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474490	SAMEA2273669	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474492	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474492	SAMEA2273671	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474493	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474493	SAMEA2273672	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474494	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474494	SAMEA2273673	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474496	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474496	SAMEA2273675	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474497	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474497	SAMEA2273676	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474498	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474498	SAMEA2273677	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474500	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474500	SAMEA2273681	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474501	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474501	SAMEA2273682	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474502	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474502	SAMEA2273683	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474503	ciprofloxacin	S	-	0.12	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474503	SAMEA2273684	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474504	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474504	SAMEA2273685	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474507	ciprofloxacin	R	-	512	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474507	SAMEA2273689	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474508	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474508	SAMEA2273690	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474509	ciprofloxacin	S	-	0.12	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474509	SAMEA2273691	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474510	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474510	SAMEA2273694	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474512	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474512	SAMEA2273698	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474513	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474513	SAMEA2273699	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2006
ERR474514	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474514	SAMEA2273700	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474516	ciprofloxacin	R	-	4	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474516	SAMEA2273702	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474517	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474517	SAMEA2273703	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474518	ciprofloxacin	R	-	64	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474518	SAMEA2273704	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	Ireland	-	2007
ERR474520	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474520	SAMEA2273706	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474522	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474522	SAMEA2273709	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474524	ciprofloxacin	S	-	0.06	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474524	SAMEA2273712	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474525	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474525	SAMEA2273713	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474527	ciprofloxacin	S	-	0.25	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474527	SAMEA2273715	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474530	ciprofloxacin	R	-	128	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474530	SAMEA2273719	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474531	ciprofloxacin	R	-	256	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474531	SAMEA2273721	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
ERR474532	ciprofloxacin	R	-	16	mg/L	MIC (agar dilution)	EUCAST	2016	Manual	-	-	ERR474532	SAMEA2273724	PRJEB5065	28223459	Julian Parkhill	Human	Human	Blood	Infection	UK	-	2007
