Dataset	N	Prediction	%R	Categorical agreement	Categorical_agreement_conf_int_lower_bound	Categorical_agreement_conf_int_upper_bound	ME	ME_conf_int_lower_bound	ME_conf_int_upper_bound	VME	VME_conf_int_lower_bound	VME_conf_int_upper_bound	Sensitivity	Sensitivity_conf_int_lower_bound	Sensitivity_conf_int_upper_bound	Specificity	Specificity_conf_int_lower_bound	Specificity_conf_int_upper_bound
E (EUCAST)	173	NWT	88.44%	84.97%	79.65%	90.3%	60%	38.53%	81.47%	9.15%	4.58%	13.72%	90.85%	86.28%	95.42%	40%	18.53%	61.47%
F (EUCAST)	148	R	91.89%	97.3%	94.68%	99.91%	8.33%	-7.3%	23.97%	2.21%	-0.26%	4.67%	97.79%	95.33%	100.26%	91.67%	76.03%	107.3%
F (EUCAST)	148	NWT	92.57%	97.3%	94.68%	99.91%	9.09%	-7.9%	26.08%	2.19%	-0.26%	4.64%	97.81%	95.36%	100.26%	90.91%	73.92%	107.9%
MBIRA (Kvv, CLSI)	91	R	5.49%	95.6%	91.39%	99.82%	0%	0%	0%	80%	44.94%	115.06%	20%	-15.06%	55.06%	100%	100%	100%
MBIRA (Kvv, CLSI)	91	NWT	5.49%	95.6%	91.39%	99.82%	0%	0%	0%	80%	44.94%	115.06%	20%	-15.06%	55.06%	100%	100%	100%
Oxfordshire (Kvv, EUCAST)	66	R	0%	98.48%	95.54%	101.43%	1.52%	-1.43%	4.46%	NaN%	NaN%	NaN%	NaN%	NaN%	NaN%	98.48%	95.54%	101.43%
Oxfordshire (Kvv, EUCAST)	66	NWT	3.03%	95.45%	90.43%	100.48%	1.56%	-1.48%	4.6%	100%	100%	100%	0%	0%	0%	98.44%	95.4%	101.48%
SCHARKI	56	R	3.57%	94.64%	88.75%	100.54%	5.56%	-0.55%	11.67%	0%	0%	0%	100%	100%	100%	94.44%	88.33%	100.55%
SCHARKI	56	NWT	8.93%	92.86%	86.11%	99.6%	3.92%	-1.41%	9.25%	40%	-2.94%	82.94%	60%	17.06%	102.94%	96.08%	90.75%	101.41%
PachecoBrazil	38	R	73.68%	100%	100%	100%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%
PachecoBrazil	38	NWT	73.68%	100%	100%	100%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%
HarrisMERINO	36	R	58.33%	83.33%	71.16%	95.51%	13.33%	-3.87%	30.54%	19.05%	2.25%	35.84%	80.95%	64.16%	97.75%	86.67%	69.46%	103.87%
HarrisMERINO	36	NWT	80.56%	94.44%	86.96%	101.93%	0%	0%	0%	6.9%	-2.33%	16.12%	93.1%	83.88%	102.33%	100%	100%	100%
J* (EUCAST/BSAC)	737	R	55.77%	86.16%	83.67%	88.65%	4.6%	2.33%	6.88%	21.17%	17.22%	25.12%	78.83%	74.88%	82.78%	95.4%	93.12%	97.67%
J* (EUCAST/BSAC)	737	NWT	73.41%	76.39%	73.32%	79.46%	2.04%	0.06%	4.02%	31.42%	27.51%	35.34%	68.58%	64.66%	72.49%	97.96%	95.98%	99.94%
L* (EUCAST)	72	R	73.61%	91.67%	85.28%	98.05%	31.58%	10.68%	52.48%	0%	0%	0%	100%	100%	100%	68.42%	47.52%	89.32%
L* (EUCAST)	72	NWT	84.72%	93.06%	87.18%	98.93%	18.18%	-4.61%	40.97%	4.92%	-0.51%	10.34%	95.08%	89.66%	100.51%	81.82%	59.03%	104.61%
K* (Kvv, CLSI)	70	R	40%	100%	100%	100%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%
K* (Kvv, CLSI)	70	NWT	47.14%	92.86%	86.82%	98.89%	0%	0%	0%	15.15%	2.92%	27.38%	84.85%	72.62%	97.08%	100%	100%	100%
M* (CLSI)	40	R	52.5%	90%	80.7%	99.3%	5.26%	-4.78%	15.3%	14.29%	-0.68%	29.25%	85.71%	70.75%	100.68%	94.74%	84.7%	104.78%
M* (CLSI)	40	NWT	55%	92.5%	84.34%	100.66%	5.56%	-5.03%	16.14%	9.09%	-2.92%	21.1%	90.91%	78.9%	102.92%	94.44%	83.86%	105.03%
Pooled	5718	R	69.03%	90.85%	90.11%	91.6%	19.88%	18.02%	21.73%	4.33%	3.7%	4.97%	95.67%	95.03%	96.3%	80.12%	78.27%	81.98%
Pooled	5718	NWT	77.47%	91.69%	90.98%	92.41%	11.49%	9.75%	13.23%	7.38%	6.61%	8.15%	92.62%	91.85%	93.39%	88.51%	86.77%	90.25%
A (EUCAST)	1968	R_excludeI	85.21%	97.82%	97.17%	98.46%	1.37%	0.04%	2.71%	2.33%	1.6%	3.05%	97.67%	96.95%	98.4%	98.63%	97.29%	99.96%
G (CLSI)	656	R_excludeI	66.46%	95.27%	93.65%	96.9%	9.55%	5.66%	13.43%	2.29%	0.89%	3.7%	97.71%	96.3%	99.11%	90.45%	86.57%	94.34%
B (EUCAST)	520	R_excludeI	83.85%	95.96%	94.27%	97.65%	21.43%	12.65%	30.2%	0.69%	-0.09%	1.46%	99.31%	98.54%	100.09%	78.57%	69.8%	87.35%
C (EUCAST)	409	R_excludeI	60.15%	89.49%	86.51%	92.46%	11.04%	6.23%	15.85%	10.16%	6.39%	13.94%	89.84%	86.06%	93.61%	88.96%	84.15%	93.77%
D (EUCAST)	275	R_excludeI	12.73%	97.45%	95.59%	99.32%	0.42%	-0.4%	1.23%	17.14%	4.66%	29.63%	82.86%	70.37%	95.34%	99.58%	98.77%	100.4%
IZSAM	280	R_excludeI	97.5%	98.57%	97.18%	99.96%	14.29%	-11.64%	40.21%	1.1%	-0.14%	2.34%	98.9%	97.66%	100.14%	85.71%	59.79%	111.64%
H (CLSI)	229	R_excludeI	53.28%	75.55%	69.98%	81.11%	46.73%	37.28%	56.18%	4.92%	1.08%	8.76%	95.08%	91.24%	98.92%	53.27%	43.82%	62.72%
I (CLSI)	167	R_excludeI	89.82%	95.21%	91.97%	98.45%	29.41%	7.75%	51.07%	2%	-0.24%	4.24%	98%	95.76%	100.24%	70.59%	48.93%	92.25%
IRCCS Ospedale San Raffaele	196	R_excludeI	95.41%	98.98%	97.57%	100.39%	11.11%	-9.42%	31.64%	0.53%	-0.51%	1.58%	99.47%	98.42%	100.51%	88.89%	68.36%	109.42%
E (EUCAST)	162	R_excludeI	87.65%	85.8%	80.43%	91.18%	60%	38.53%	81.47%	7.75%	3.35%	12.14%	92.25%	87.86%	96.65%	40%	18.53%	61.47%
F (EUCAST)	146	R_excludeI	92.47%	97.95%	95.64%	100.25%	9.09%	-7.9%	26.08%	1.48%	-0.56%	3.52%	98.52%	96.48%	100.56%	90.91%	73.92%	107.9%
MBIRA (Kvv, CLSI)	91	R_excludeI	5.49%	95.6%	91.39%	99.82%	0%	0%	0%	80%	44.94%	115.06%	20%	-15.06%	55.06%	100%	100%	100%
Oxfordshire (Kvv, EUCAST)	64	R_excludeI	0%	98.44%	95.4%	101.48%	1.56%	-1.48%	4.6%	NaN%	NaN%	NaN%	NaN%	NaN%	NaN%	98.44%	95.4%	101.48%
SCHARKI	53	R_excludeI	3.77%	96.23%	91.1%	101.36%	3.92%	-1.41%	9.25%	0%	0%	0%	100%	100%	100%	96.08%	90.75%	101.41%
PachecoBrazil	38	R_excludeI	73.68%	100%	100%	100%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%
HarrisMERINO	25	R_excludeI	72%	96%	88.32%	103.68%	0%	0%	0%	5.56%	-5.03%	16.14%	94.44%	83.86%	105.03%	100%	100%	100%
J* (EUCAST/BSAC)	576	R_excludeI	65.97%	89.58%	87.09%	92.08%	2.04%	0.06%	4.02%	14.74%	11.17%	18.3%	85.26%	81.7%	88.83%	97.96%	95.98%	99.94%
L* (EUCAST)	64	R_excludeI	82.81%	96.88%	92.61%	101.14%	18.18%	-4.61%	40.97%	0%	0%	0%	100%	100%	100%	81.82%	59.03%	104.61%
K* (Kvv, CLSI)	65	R_excludeI	43.08%	100%	100%	100%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%
M* (CLSI)	37	R_excludeI	51.35%	94.59%	87.31%	101.88%	5.56%	-5.03%	16.14%	5.26%	-4.78%	15.3%	94.74%	84.7%	104.78%	94.44%	83.86%	105.03%
Pooled	5162	R_excludeI	75.36%	95.23%	94.65%	95.82%	10.38%	8.7%	12.05%	2.93%	2.4%	3.46%	97.07%	96.54%	97.6%	89.62%	87.95%	91.3%
