Determinant,Total (% of genomes),Susceptible (% of phenotype with determinant),Resistant (% of phenotype with determinant),PPV for Resistant,"Association with Resistance (OR, p-value)",NWT (% of phenotype with determinant),PPV for NWT,"Association with NWT (OR, p-value)"
ParC-80R,n=2 (0.02%),0,n=2 (0.03%),100%,-,n=2 (0.03%),100%,-
ParC-84,n=416 (3.42%),n=1 (0.02%),n=415 (6.72%),99.76%,431.35 (p=1.3e-123),n=415 (6.12%),99.76%,351.29 (p=2.5e-106)
ParC-84G,n=1 (0.01%),0,n=1 (0.02%),100%,-,n=1 (0.01%),100%,-
ParC-84K,n=414 (3.4%),n=1 (0.02%),n=413 (6.69%),99.76%,429.12 (p=5.2e-123),n=413 (6.09%),99.76%,349.49 (p=8.8e-106)
ParC-84V,n=1 (0.01%),0,n=1 (0.02%),100%,-,n=1 (0.01%),100%,-
aac(6')-Ib-cr,n=2924 (24.03%),n=148 (2.75%),n=2723 (44.08%),93.13%,22.71 (p=0.0e+00),n=2776 (40.95%),94.94%,24.55 (p=0.0e+00)
qepA2,n=18 (0.15%),0,n=18 (0.29%),100%,-,n=18 (0.27%),100%,-
qnrA1,n=34 (0.28%),n=1 (0.02%),n=32 (0.52%),94.12%,15.59 (p=7.4e-08),n=33 (0.49%),97.06%,26.35 (p=7.4e-08)
qnrA3,n=5 (0.04%),0,n=5 (0.08%),100%,-,n=5 (0.07%),100%,-
qnrA6,n=1 (0.01%),0,n=1 (0.02%),100%,-,n=1 (0.01%),100%,-
qnrB1.v1,n=168 (1.38%),n=6 (0.11%),n=160 (2.59%),95.24%,19.88 (p=1.8e-37),n=162 (2.39%),96.43%,21.96 (p=1.4e-33)
qnrB1.v2,n=1687 (13.87%),n=63 (1.17%),n=1548 (25.06%),91.76%,14.08 (p=0.0e+00),n=1624 (23.96%),96.27%,26.63 (p=0.0e+00)
qnrB17,n=40 (0.33%),0,n=40 (0.65%),100%,-,n=40 (0.59%),100%,-
qnrB19,n=83 (0.68%),n=3 (0.06%),n=77 (1.25%),92.77%,12.59 (p=1.1e-16),n=80 (1.18%),96.39%,21.44 (p=4.3e-17)
qnrB2.v1,n=29 (0.24%),n=3 (0.06%),n=24 (0.39%),82.76%,4.67 (p=5.6e-04),n=26 (0.38%),89.66%,6.91 (p=1.1e-04)
qnrB2.v2,n=12 (0.1%),0,n=12 (0.19%),100%,-,n=12 (0.18%),100%,-
qnrB4,n=184 (1.51%),n=3 (0.06%),n=173 (2.8%),94.02%,15.66 (p=3.0e-38),n=181 (2.67%),98.37%,49.24 (p=3.7e-42)
qnrB5,n=6 (0.05%),n=1 (0.02%),n=5 (0.08%),83.33%,4.85 (p=2.2e-01),n=5 (0.07%),83.33%,3.98 (p=2.4e-01)
qnrB6,n=409 (3.36%),n=1 (0.02%),n=406 (6.57%),99.27%,140.4 (p=5.2e-117),n=408 (6.02%),99.76%,344.98 (p=2.3e-104)
qnrB7,n=1 (0.01%),0,n=1 (0.02%),100%,-,n=1 (0.01%),100%,-
qnrB9.2,n=4 (0.03%),0,n=4 (0.06%),100%,-,n=4 (0.06%),100%,-
qnrE2,n=2 (0.02%),0,n=2 (0.03%),100%,-,n=2 (0.03%),100%,-
qnrS1,n=1644 (13.51%),n=31 (0.58%),n=1523 (24.66%),92.64%,15.87 (p=0.0e+00),n=1613 (23.79%),98.11%,53.96 (p=0.0e+00)
qnrS1?,n=1 (0.01%),0,n=1 (0.02%),100%,-,n=1 (0.01%),100%,-
qnrS2,n=1 (0.01%),0,n=1 (0.02%),100%,-,n=1 (0.01%),100%,-
qnrVC1,n=2 (0.02%),0,n=2 (0.03%),100%,-,n=2 (0.03%),100%,-
qnrVC6,n=1 (0.01%),n=1 (0.02%),0,-,-,0,-,-
