Sample	gene	contig	perc_ID	perc_query_length	start	stop
2018-01-3929	oqxa	3	99.49	100	36735	37910
2018-01-3929	IS1351_IS3_IS407	3	91.96	100	31728	32934
2018-01-3929	oqxa	3	99.49	100	36735	37910
2018-01-3929	ISEcl10_IS3_IS407	3	94.03	100	31728	32934
2018-01-4108	oqxa	4	99.23	100	426303	425128
2018-01-4108	IS1351_IS3_IS407	4	92.29	100	434277	435483
2018-01-4108	oqxa	4	99.23	100	426303	425128
2018-01-4108	ISEcl10_IS3_IS407	4	93.87	100	434277	435483
2018-01-4196	oqxa	5	99.23	100	346488	345313
2018-01-4196	ISEhe3_IS3_IS51	5	95.37	100.081367	355420	354192
2018-01-4203	oqxa	1	99.23	100	362095	360920
2018-01-4203	ISEam1_IS3_IS51	1	91.1	97.72357724	368016	366816
2018-01-4203	oqxa	1	99.23	100	362095	360920
2018-01-4203	ISEc14_IS3_IS51	1	97.17	94.64988198	368016	366814
2018-01-4203	oqxa	1	99.23	100	362095	360920
2018-01-4203	ISEc15_IS3_IS51	1	80.96	100.3252033	368016	366787
2018-01-4203	oqxa	1	99.23	100	362095	360920
2018-01-4203	ISEc24_IS3_IS51	1	80.97	99.10569106	368002	366787
2018-01-4247	oqxa	2	99.57	100	352466	351291
2018-01-4247	ISEam1_IS3_IS51	2	91.01	97.72357724	358387	357187
2018-01-4247	oqxa	2	99.57	100	352466	351291
2018-01-4247	ISEc14_IS3_IS51	2	97.09	94.64988198	358387	357185
2018-01-4247	oqxa	2	99.57	100	352466	351291
2018-01-4247	ISEc15_IS3_IS51	2	80.88	100.3252033	358387	357158
2018-01-4247	oqxa	2	99.57	100	352466	351291
2018-01-4247	ISEc24_IS3_IS51	2	80.89	99.10569106	358373	357158
2018-01-4459	oqxa	2	99.57	100	72293	73468
2018-01-4459	ISEam1_IS3_IS51	2	91.01	97.72357724	66372	67572
2018-01-4459	oqxa	2	99.57	100	72293	73468
2018-01-4459	ISEc14_IS3_IS51	2	97.09	94.64988198	66372	67574
2018-01-4459	oqxa	2	99.57	100	72293	73468
2018-01-4459	ISEc15_IS3_IS51	2	80.88	100.3252033	66372	67601
2018-01-4459	oqxa	2	99.57	100	72293	73468
2018-01-4459	ISEc24_IS3_IS51	2	80.89	99.10569106	66386	67601
2018-01-4639	oqxa	3	99.49	100	36735	37910
2018-01-4639	IS1351_IS3_IS407	3	91.96	100	31728	32934
2018-01-4639	oqxa	3	99.49	100	36735	37910
2018-01-4639	ISEcl10_IS3_IS407	3	94.03	100	31728	32934
2018-01-4653	oqxa	3	99.57	100	72293	73468
2018-01-4653	ISEam1_IS3_IS51	3	91.01	97.72357724	66372	67572
2018-01-4653	oqxa	3	99.57	100	72293	73468
2018-01-4653	ISEc14_IS3_IS51	3	97.09	94.64988198	66372	67574
2018-01-4653	oqxa	3	99.57	100	72293	73468
2018-01-4653	ISEc15_IS3_IS51	3	80.88	100.3252033	66372	67601
2018-01-4653	oqxa	3	99.57	100	72293	73468
2018-01-4653	ISEc24_IS3_IS51	3	80.89	99.10569106	66386	67601
2018-01-475	oqxa	3	99.57	100	304676	303501
2018-01-475	ISEam1_IS3_IS51	3	91.01	97.72357724	310597	309397
2018-01-475	oqxa	3	99.57	100	304676	303501
2018-01-475	ISEc14_IS3_IS51	3	97.09	94.64988198	310597	309395
2018-01-475	oqxa	3	99.57	100	304676	303501
2018-01-475	ISEc15_IS3_IS51	3	80.88	100.3252033	310597	309368
2018-01-475	oqxa	3	99.57	100	304676	303501
2018-01-475	ISEc24_IS3_IS51	3	80.89	99.10569106	310583	309368
2018-01-4766	oqxa	2	99.57	100	72313	73488
2018-01-4766	ISEam1_IS3_IS51	2	91.01	97.72357724	66392	67592
2018-01-4766	oqxa	2	99.57	100	72313	73488
2018-01-4766	ISEc14_IS3_IS51	2	97.09	94.64988198	66392	67594
2018-01-4766	oqxa	2	99.57	100	72313	73488
2018-01-4766	ISEc15_IS3_IS51	2	80.88	100.3252033	66392	67621
2018-01-4766	oqxa	2	99.57	100	72313	73488
2018-01-4766	ISEc24_IS3_IS51	2	80.89	99.10569106	66406	67621
2018-01-707	oqxa	4	99.57	100	72293	73468
2018-01-707	ISEam1_IS3_IS51	4	91.01	97.72357724	66372	67572
2018-01-707	oqxa	4	99.57	100	72293	73468
2018-01-707	ISEc14_IS3_IS51	4	97.09	94.64988198	66372	67574
2018-01-707	oqxa	4	99.57	100	72293	73468
2018-01-707	ISEc15_IS3_IS51	4	80.88	100.3252033	66372	67601
2018-01-707	oqxa	4	99.57	100	72293	73468
2018-01-707	ISEc24_IS3_IS51	4	80.89	99.10569106	66386	67601
2018-01-779	oqxa	1	99.57	100	397167	395992
2018-01-779	ISEam1_IS3_IS51	1	91.01	97.72357724	403088	401888
2018-01-779	oqxa	1	99.57	100	397167	395992
2018-01-779	ISEc14_IS3_IS51	1	97.09	94.64988198	403088	401886
2018-01-779	oqxa	1	99.57	100	397167	395992
2018-01-779	ISEc15_IS3_IS51	1	80.88	100.3252033	403088	401859
2018-01-779	oqxa	1	99.57	100	397167	395992
2018-01-779	ISEc24_IS3_IS51	1	80.89	99.10569106	403074	401859
2018-01-802	oqxa	4	99.57	100	72293	73468
2018-01-802	ISEam1_IS3_IS51	4	91.01	97.72357724	66372	67572
2018-01-802	oqxa	4	99.57	100	72293	73468
2018-01-802	ISEc14_IS3_IS51	4	97.09	94.64988198	66372	67574
2018-01-802	oqxa	4	99.57	100	72293	73468
2018-01-802	ISEc15_IS3_IS51	4	80.88	100.3252033	66372	67601
2018-01-802	oqxa	4	99.57	100	72293	73468
2018-01-802	ISEc24_IS3_IS51	4	80.89	99.10569106	66386	67601
2018-01-873	oqxa	3	99.49	100	21674	22849
2018-01-873	ISEhe3_IS3_IS51	3	87.4	100.081367	15633	14405
2018-01-874	oqxa	1	99.57	100	72293	73468
2018-01-874	ISEam1_IS3_IS51	1	91.01	97.72357724	66372	67572
2018-01-874	oqxa	1	99.57	100	72293	73468
2018-01-874	ISEc14_IS3_IS51	1	97.09	94.64988198	66372	67574
2018-01-874	oqxa	1	99.57	100	72293	73468
2018-01-874	ISEc15_IS3_IS51	1	80.88	100.3252033	66372	67601
2018-01-874	oqxa	1	99.57	100	72293	73468
2018-01-874	ISEc24_IS3_IS51	1	80.89	99.10569106	66386	67601
2019.TE.17588.1.10	oqxa	5	99.32	100	39224	40399
2019.TE.17588.1.10	IS1351_IS3_IS407	5	92.29	100	32539	33744
2019.TE.17588.1.10	oqxa	5	99.32	100	39224	40399
2019.TE.17588.1.10	ISEcl10_IS3_IS407	5	94.61	100	32539	33744
2019.TE.17588.1.47	oqxa	1	99.23	100	42935	44110
2019.TE.17588.1.47	IS1230B_IS3_IS3	1	95.88	101.2841091	38661	39919
2019.TE.17588.1.47	oqxa	1	99.23	100	42935	44110
2019.TE.17588.1.47	IS3_IS3_IS3	1	82.57	100.7949126	38661	39919
2019.TE.17588.1.47	oqxa	1	99.23	100	42935	44110
2019.TE.17588.1.47	IS3F_IS3_IS3	1	82.6	100.9538951	38661	39919
2019.TE.17588.1.47	oqxa	1	99.23	100	42935	44110
2019.TE.17588.1.47	IS3H_IS3_IS3	1	80.9	100.8723236	38661	39919
2019.TE.17588.1.47	oqxa	1	99.23	100	42935	44110
2019.TE.17588.1.47	ISEal1_IS3_IS3	1	82.67	101.5261044	38661	39919
2019.TE.17588.1.47	oqxa	1	99.23	100	42935	44110
2019.TE.17588.1.47	ISEc16_IS3_IS3	1	81.24	101.5273312	38661	39919
2019.TE.17588.1.47	oqxa	1	99.23	100	42935	44110
2019.TE.17588.1.47	ISEc17_IS3_IS3	1	82.62	100.63593	38661	39919
2019.TE.17588.1.47	oqxa	1	99.23	100	42935	44110
2019.TE.17588.1.47	ISPeat2_IS3_IS3	1	81.09	101.607717	38661	39919
2019.TE.17588.1.47	oqxa	1	99.23	100	42935	44110
2019.TE.17588.1.47	ISSty2_IS3_IS3	1	96.51	100.1588562	38661	39919
2019.TE.17588.1.48	oqxa	3	99.23	100	42935	44110
2019.TE.17588.1.48	IS1230B_IS3_IS3	3	95.88	101.2841091	38661	39919
2019.TE.17588.1.48	oqxa	3	99.23	100	42935	44110
2019.TE.17588.1.48	IS3_IS3_IS3	3	82.57	100.7949126	38661	39919
2019.TE.17588.1.48	oqxa	3	99.23	100	42935	44110
2019.TE.17588.1.48	IS3F_IS3_IS3	3	82.6	100.9538951	38661	39919
2019.TE.17588.1.48	oqxa	3	99.23	100	42935	44110
2019.TE.17588.1.48	IS3H_IS3_IS3	3	80.9	100.8723236	38661	39919
2019.TE.17588.1.48	oqxa	3	99.23	100	42935	44110
2019.TE.17588.1.48	ISEal1_IS3_IS3	3	82.67	101.5261044	38661	39919
2019.TE.17588.1.48	oqxa	3	99.23	100	42935	44110
2019.TE.17588.1.48	ISEc16_IS3_IS3	3	81.24	101.5273312	38661	39919
2019.TE.17588.1.48	oqxa	3	99.23	100	42935	44110
2019.TE.17588.1.48	ISEc17_IS3_IS3	3	82.62	100.63593	38661	39919
2019.TE.17588.1.48	oqxa	3	99.23	100	42935	44110
2019.TE.17588.1.48	ISPeat2_IS3_IS3	3	81.09	101.607717	38661	39919
2019.TE.17588.1.48	oqxa	3	99.23	100	42935	44110
2019.TE.17588.1.48	ISSty2_IS3_IS3	3	96.51	100.1588562	38661	39919
2019.TE.17588.1.6	oqxa	1	99.49	100	73790	74965
2019.TE.17588.1.6	IS1351_IS3_IS407	1	92.29	100	67106	68311
2019.TE.17588.1.6	oqxa	1	99.49	100	73790	74965
2019.TE.17588.1.6	ISEcl10_IS3_IS407	1	94.61	100	67106	68311
2019.TE.17588.1.9	oqxa	6	99.57	100	181492	180317
2019.TE.17588.1.9	IS1351_IS3_IS407	6	92.21	100	189466	190672
2019.TE.17588.1.9	oqxa	6	99.57	100	181492	180317
2019.TE.17588.1.9	ISEcl10_IS3_IS407	6	93.79	100	189466	190672
2019.TE.22689.1.28	oqxa	3	99.49	100	393411	392236
2019.TE.22689.1.28	IS1351_IS3_IS407	3	91.96	100	398418	397212
2019.TE.22689.1.28	oqxa	3	99.49	100	393411	392236
2019.TE.22689.1.28	ISEcl10_IS3_IS407	3	94.03	100	398418	397212
2019.TE.22689.1.2	oqxa	8	99.15	100	200771	199596
2019.TE.22689.1.2	IS1351_IS3_IS407	8	91.88	100	207124	205918
2019.TE.22689.1.2	oqxa	8	99.15	100	200771	199596
2019.TE.22689.1.2	ISEcl10_IS3_IS407	8	94.37	100	207124	205918
2019.TE.22689.1.42	oqxa	9	99.57	100	185685	184510
2019.TE.22689.1.42	ISEam1_IS3_IS51	9	91.01	97.72357724	191606	190406
2019.TE.22689.1.42	oqxa	9	99.57	100	185685	184510
2019.TE.22689.1.42	ISEc14_IS3_IS51	9	97.09	94.64988198	191606	190404
2019.TE.22689.1.42	oqxa	9	99.57	100	185685	184510
2019.TE.22689.1.42	ISEc15_IS3_IS51	9	80.88	100.3252033	191606	190377
2019.TE.22689.1.42	oqxa	9	99.57	100	185685	184510
2019.TE.22689.1.42	ISEc24_IS3_IS51	9	80.89	99.10569106	191592	190377
2019.TE.22689.1.86	oqxa	4	99.4	100	39263	40438
2019.TE.22689.1.86	ISEam1_IS3_IS51	4	90.6	98.61788618	33344	34555
2019.TE.22689.1.86	oqxa	4	99.4	100	39263	40438
2019.TE.22689.1.86	ISEc14_IS3_IS51	4	96.49	98.58379229	33304	34555
2019.TE.22689.1.86	oqxa	4	99.4	100	39263	40438
2019.TE.22689.1.86	ISEc15_IS3_IS51	4	80.96	100.3252033	33344	34573
2019.TE.22689.1.86	oqxa	4	99.4	100	39263	40438
2019.TE.22689.1.86	ISEc24_IS3_IS51	4	81.08	99.26829268	33358	34573
2019.TE.22689.1.87	oqxa	4	99.4	100	39263	40438
2019.TE.22689.1.87	ISEam1_IS3_IS51	4	90.6	98.61788618	33344	34555
2019.TE.22689.1.87	oqxa	4	99.4	100	39263	40438
2019.TE.22689.1.87	ISEc14_IS3_IS51	4	96.49	98.58379229	33304	34555
2019.TE.22689.1.87	oqxa	4	99.4	100	39263	40438
2019.TE.22689.1.87	ISEc15_IS3_IS51	4	80.96	100.3252033	33344	34573
2019.TE.22689.1.87	oqxa	4	99.4	100	39263	40438
2019.TE.22689.1.87	ISEc24_IS3_IS51	4	81.08	99.26829268	33358	34573
2021.TE.133038.1.10	oqxa	37	94.39	100	12245	11070
2021.TE.133038.1.10	IS1400_IS3_IS407	37	84.33	98.84009942	20549	19358
2021.TE.133038.1.13	oqxa	6	99.4	100	203392	202217
2021.TE.133038.1.13	ISEam1_IS3_IS51	6	91.1	97.72357724	209312	208112
2021.TE.133038.1.13	oqxa	6	99.4	100	203392	202217
2021.TE.133038.1.13	ISEc14_IS3_IS51	6	97.34	94.64988198	209312	208110
2021.TE.133038.1.13	oqxa	6	99.4	100	203392	202217
2021.TE.133038.1.13	ISEc15_IS3_IS51	6	80.96	100.3252033	209312	208083
2021.TE.133038.1.13	oqxa	6	99.4	100	203392	202217
2021.TE.133038.1.13	ISEc24_IS3_IS51	6	80.97	99.10569106	209298	208083
2021.TE.133038.1.19	oqxa	1	99.49	100	175563	174388
2021.TE.133038.1.19	IS1351_IS3_IS407	1	92.29	100	182248	181043
2021.TE.133038.1.19	oqxa	1	99.49	100	175563	174388
2021.TE.133038.1.19	ISEcl10_IS3_IS407	1	94.61	100	182248	181043
2021.TE.133038.1.20	oqxa	2	99.49	100	434503	433328
2021.TE.133038.1.20	IS1351_IS3_IS407	2	92.29	100	441188	439983
2021.TE.133038.1.20	oqxa	2	99.49	100	434503	433328
2021.TE.133038.1.20	ISEcl10_IS3_IS407	2	94.61	100	441188	439983
2021.TE.133038.1.3	oqxa	2	99.23	100	75783	76958
2021.TE.133038.1.3	IS1351_IS3_IS407	2	92.29	100	69097	70302
2021.TE.133038.1.3	oqxa	2	99.23	100	75783	76958
2021.TE.133038.1.3	ISEcl10_IS3_IS407	2	94.61	100	69097	70302
2021.TE.133038.1.4	oqxa	4	99.23	100	182290	181115
2021.TE.133038.1.4	IS1351_IS3_IS407	4	92.29	100	188976	187771
2021.TE.133038.1.4	oqxa	4	99.23	100	182290	181115
2021.TE.133038.1.4	ISEcl10_IS3_IS407	4	94.61	100	188976	187771
2021.TE.73017.1.12	oqxa	8	99.49	100	182018	180843
2021.TE.73017.1.12	IS1351_IS3_IS407	8	92.29	100	188703	187498
2021.TE.73017.1.12	oqxa	8	99.49	100	182018	180843
2021.TE.73017.1.12	ISEcl10_IS3_IS407	8	94.61	100	188703	187498
2021.TE.73017.1.2	oqxa	2	99.4	100	42934	44109
2021.TE.73017.1.2	IS1230B_IS3_IS3	2	95.8	101.2841091	38660	39918
2021.TE.73017.1.2	oqxa	2	99.4	100	42934	44109
2021.TE.73017.1.2	IS3_IS3_IS3	2	82.49	100.7949126	38660	39918
2021.TE.73017.1.2	oqxa	2	99.4	100	42934	44109
2021.TE.73017.1.2	IS3F_IS3_IS3	2	82.61	101.0333863	38660	39918
2021.TE.73017.1.2	oqxa	2	99.4	100	42934	44109
2021.TE.73017.1.2	IS3H_IS3_IS3	2	80.82	100.8723236	38660	39918
2021.TE.73017.1.2	oqxa	2	99.4	100	42934	44109
2021.TE.73017.1.2	ISEal1_IS3_IS3	2	82.59	101.5261044	38660	39918
2021.TE.73017.1.2	oqxa	2	99.4	100	42934	44109
2021.TE.73017.1.2	ISEc16_IS3_IS3	2	81.16	101.5273312	38660	39918
2021.TE.73017.1.2	oqxa	2	99.4	100	42934	44109
2021.TE.73017.1.2	ISEc17_IS3_IS3	2	82.54	100.63593	38660	39918
2021.TE.73017.1.2	oqxa	2	99.4	100	42934	44109
2021.TE.73017.1.2	ISPeat2_IS3_IS3	2	81.01	101.607717	38660	39918
2021.TE.73017.1.2	oqxa	2	99.4	100	42934	44109
2021.TE.73017.1.2	ISSty2_IS3_IS3	2	96.43	100.1588562	38660	39918
2021.TE.73017.1.6	oqxa	4	96.26	100	46649	47824
2021.TE.73017.1.6	ISEch12_IS3_IS407	4	89.1	100	43254	42045
2021.TE.73017.1.6	oqxa	4	96.26	100	46649	47824
2021.TE.73017.1.6	ISKpn54_IS3_IS407	4	99.26	100	43254	42045
3501	oqxa	9	99.23	100	182354	181179
3501	ISEae2_IS3_IS2	9	82.56	97.2972973	188447	187156
3501	oqxa	9	99.23	100	182354	181179
3501	ISEcl1_IS3_IS2	9	98.43	100	188454	187119
3668	oqxa	3	99.4	100	424864	423689
3668	ISEam1_IS3_IS51	3	91.1	97.72357724	430785	429585
3668	oqxa	3	99.4	100	424864	423689
3668	ISEc14_IS3_IS51	3	97.17	94.64988198	430785	429583
3668	oqxa	3	99.4	100	424864	423689
3668	ISEc15_IS3_IS51	3	80.96	100.3252033	430785	429556
3668	oqxa	3	99.4	100	424864	423689
3668	ISEc24_IS3_IS51	3	80.97	99.10569106	430771	429556
3788	oqxa	3	99.4	100	424864	423689
3788	ISEam1_IS3_IS51	3	91.1	97.72357724	430785	429585
3788	oqxa	3	99.4	100	424864	423689
3788	ISEc14_IS3_IS51	3	97.17	94.64988198	430785	429583
3788	oqxa	3	99.4	100	424864	423689
3788	ISEc15_IS3_IS51	3	80.96	100.3252033	430785	429556
3788	oqxa	3	99.4	100	424864	423689
3788	ISEc24_IS3_IS51	3	80.97	99.10569106	430771	429556
3809	oqxa	2	99.49	100	39191	40366
3809	IS1351_IS3_IS407	2	92.29	100	32506	33711
3809	oqxa	2	99.49	100	39191	40366
3809	ISEcl10_IS3_IS407	2	94.61	100	32506	33711
4965	oqxa	3	99.4	100	424868	423693
4965	ISEam1_IS3_IS51	3	91.1	97.72357724	430789	429589
4965	oqxa	3	99.4	100	424868	423693
4965	ISEc14_IS3_IS51	3	97.17	94.64988198	430789	429587
4965	oqxa	3	99.4	100	424868	423693
