"Genome ID","Genome Name","Version","Kleborate version","strain","species","species_match","contig_count","N50","largest_contig","total_size","ambiguous_bases","QC_warnings","ST","virulence_score","resistance_score","num_resistance_classes","num_resistance_genes","Yersiniabactin","YbST","Colibactin","CbST","Aerobactin","AbST","Salmochelin","SmST","RmpADC","RmST","rmpA2","wzi","K_locus","K_type","K_locus_problems","K_locus_confidence","K_locus_identity","K_locus_missing_genes","O_locus","O_type","O_locus_problems","O_locus_confidence","O_locus_identity","O_locus_missing_genes","AGly_acquired","Col_acquired","Fcyn_acquired","Flq_acquired","Gly_acquired","MLS_acquired","Phe_acquired","Rif_acquired","Sul_acquired","Tet_acquired","Tgc_acquired","Tmt_acquired","Bla_acquired","Bla_inhR_acquired","Bla_ESBL_acquired","Bla_ESBL_inhR_acquired","Bla_Carb_acquired","Bla_chr","SHV_mutations","Omp_mutations","Col_mutations","Flq_mutations","truncated_resistance_hits","spurious_resistance_hits","Chr_ST","gapA","infB","mdh","pgi","phoE","rpoB","tonB","ybtS","ybtX","ybtQ","ybtP","ybtA","irp2","irp1","ybtU","ybtT","ybtE","fyuA","clbA","clbB","clbC","clbD","clbE","clbF","clbG","clbH","clbI","clbL","clbM","clbN","clbO","clbP","clbQ","iucA","iucB","iucC","iucD","iutA","iroB","iroC","iroD","iroN","rmpA","rmpD","rmpC","spurious_virulence_hits"
"65cdd7cd107c34c53988597c","SAMN36415685","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","80","205927","581464","5668726","yes (294)","ambiguous_bases","ST1136-2LV","0","0","1","1","-","0","-","0","-","0","-","0","-","0","-","wzi193","KL125","unknown (KL125)","*","High","90.17%","","O12","O12","none","Very high","98.78%","","-","-","-","qnrB19^","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-6^","-","-","-","-","-","-","ST1136-2LV","18","22","18","63","231","13","227","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34215088597e","SAMN36415682","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","124","135478","457993","5413121","yes (95)","ambiguous_bases","ST367-2LV","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","-","unknown (KL174)","unknown (KL174)","?-+","None","99.47%","KL174_03_wzi,KL174_04_wza,KL174_05_wzb,KL174_06_wzc,KL174_07_wzy,KL174_08,KL174_09_wzx,KL174_10_pglJ,KL174_11,KL174_12_wcpF,KL174_13_wcuI,KL174_14,KL174_15_wbaZ,KL174_16_wcaJ,KL174_19_manB","unknown (OL102)","unknown (OL102)","?-+","None","73.21%","OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-6*?","-","-","-","-","-","-","ST367-2LV","18","15","26","22","11","13","227","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34742988597f","SAMN36415792","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","127","135478","457993","5414978","yes (95)","ambiguous_bases","ST367-2LV","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","-","unknown (KL174)","unknown (KL174)","?-+","None","99.47%","KL174_03_wzi,KL174_04_wza,KL174_05_wzb,KL174_06_wzc,KL174_07_wzy,KL174_08,KL174_09_wzx,KL174_10_pglJ,KL174_11,KL174_12_wcpF,KL174_13_wcuI,KL174_14,KL174_15_wbaZ,KL174_16_wcaJ,KL174_19_manB","unknown (OL102)","unknown (OL102)","?-+","None","73.21%","OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-6*?","-","-","-","-","-","-","ST367-2LV","18","15","26","22","11","13","227","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c346535885983","SAMN36415675","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","160","108567","241359","5569354","yes (296)","ambiguous_bases","ST2562","0","0","1","1","-","0","-","0","-","0","-","0","-","0","-","wzi537","KL46","K46","*","Very high","98.38%","","O12","O12","none","Very high","98.77%","","-","-","-","qnrB19^","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-5*","-","-","-","-","-","-","ST2562","18","15","18","16","11","13","366","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c340a9788598c","SAMN36415773","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","184","108890","264194","5603004","yes (394)","ambiguous_bases","ST2562","0","0","1","1","-","0","-","0","-","0","-","0","-","0","-","wzi537","KL46","K46","*","Very high","98.38%","","O12","O12","none","Very high","98.77%","","-","-","-","qnrB19^","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-5*","-","-","-","-","-","-","ST2562","18","15","18","16","11","13","366","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c340b9888598d","SAMN36415771","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","185","108890","264194","5601102","yes (393)","ambiguous_bases","ST2562","0","0","1","1","-","0","-","0","-","0","-","0","-","0","-","wzi537","KL46","K46","*","Very high","98.38%","","O12","O12","none","Very high","98.77%","","-","-","-","qnrB19^","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-5*","-","-","-","-","-","-","ST2562","18","15","18","16","11","13","366","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34956c88598e","SAMN36415770","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","187","108890","264194","5601889","yes (391)","ambiguous_bases","ST2562","0","0","1","1","-","0","-","0","-","0","-","0","-","0","-","wzi537","KL46","K46","-*","High","98.38%","KL46_10_wcuC","O12","O12","none","Very high","98.77%","","-","-","-","qnrB19^","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-5*","-","-","-","-","-","-","ST2562","18","15","18","16","11","13","366","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34a2d5885926","SAMN35000634","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","86","352120","1131708","5655803","yes (118)","ambiguous_bases","ST138","0","1","6","9","-","0","-","0","-","0","-","0","-","0","-","wzi50","unknown (KL50)","unknown (K50)","?-+","None","99.87%","KL50_09_wzx,KL50_10","O5","O5","*","Very high","95.04%","","aadA5;strA.v1^;strB.v1*","-","-","-","-","mphA","-","-","sul1;sul2","tet(A).v1","-","dfrA17","-","-","CTX-M-27","-","-","OKP-B-2","-","-","-","-","-","-","ST138","18","22","26","23","31","13","49","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c3439e1885928","SAMN35037005","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","118","322761","711600","5501631","yes (592)","ambiguous_bases","ST1697","0","0","4","4","-","0","-","0","-","0","-","0","-","0","-","wzi458","KL39","K39","?-*","Good","91.25%","KL39_14","O1/O2v2","O2afg","?","Good","98.30%","","-","-","-","qnrB4","-","-","-","-","sul1","-","-","dfrA1.v1","DHA-1","-","-","-","-","OKP-B-10*","-","-","-","-","-","-","ST1697","18","1","18","16","25","13","165","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c347fbe885944","SAMN35769087","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","55","510400","1286805","5376765","yes (98)","ambiguous_bases","ST1308","0","1","8","9","-","0","-","0","-","0","-","0","-","0","-","wzi198","KL127","unknown (KL127)","?-*","Good","96.30%","KL127_17_rmlD,KL127_18_rmlC","OL103","unknown (OL103)","?-","Good","98.88%","OL103_01_rmlC","aadA2^;aph3-Ia.v1^","-","-","qnrB4","-","mphA","-","-","sul1","tet(D)","-","dfrA12","DHA-1","-","CTX-M-14","-","-","OKP-B-6^","-","-","-","-","-","-","ST1308","48","22","18","59","92","13","51","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c3481b9885960","SAMN36415674","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","161","108639","241359","5569357","yes (491)","ambiguous_bases","ST2562","0","0","1","1","-","0","-","0","-","0","-","0","-","0","-","wzi537","KL46","K46","*","Very high","98.38%","","O12","O12","none","Very high","98.77%","","-","-","-","qnrB19^","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-5*","-","-","-","-","-","-","ST2562","18","15","18","16","11","13","366","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c343ed7885961","SAMN36415743","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. quasipneumoniae","strong","145","157302","552318","6047414","yes (593)","ambiguous_bases","ST5582-2LV","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","-","KL179","unknown (KL179)","?","Good","99.74%","","unknown (OL102)","unknown (OL102)","?-+*","None","83.13%","OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-A-6","-","-","-","-","-","-","ST5582-2LV","17","19","212","20","289","18","162*","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c344d9e885962","SAMN36415742","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. quasipneumoniae","strong","147","152210","400778","6049475","yes (502)","ambiguous_bases","ST5582-2LV","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","-","KL179","unknown (KL179)","?","Good","99.74%","","unknown (OL102)","unknown (OL102)","?-+*","None","83.13%","OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-A-6","-","-","-","-","-","-","ST5582-2LV","17","19","212","20","289","18","162*","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34f77c885869","SAMN28934025","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","88","407305","1228252","5733345","yes (100)","ambiguous_bases","ST1224","0","2","6","10","-","0","-","0","-","0","-","0","-","0","-","wzi60","unknown (KL60)","unknown (K60)","?-+","Low","97.55%","KL60_18_manC,KL60_19_manB","O5","O5","?-*","Good","94.03%","O5_01_manC,O5_02_manB","aac(3)-IId^;aac(6')-Ib-cr.v2;aadA16*;strB.v1","-","-","-","-","mphA","-","arr-3","sul1;sul2","-","-","dfrA27","-","-","-","-","NDM-1","OKP-B-2*","-","-","-","-","-","catB3.v2?-0%;strA.v1?-0%","ST1224","18","67","26","63","142","38","169","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34b566885837","SAMN13382585","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","57","510822","835384","5292751","yes (400)","ambiguous_bases","ST367","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi233","KL1","K1","?-*","Good","94.16%","KL1_18_manC,KL1_19_manB","O3/O3a","O3/O3a","?-","Good","95.85%","O3/O3a_01_manC,O3/O3a_02_manB","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-9*","-","-","-","-","-","-","ST367","18","15","26","16","11","13","106","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34c3ea885838","SAMN13382576","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","123","134656","538114","5531353","yes (294)","ambiguous_bases","ST736","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi496","KL27","K27","*","Very high","95.19%","","O12","O12","none","Very high","98.65%","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-5*?","-","-","-","-","-","-","ST736","42","22","55","22","11","13","167","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34948f885839","SAMN27293987","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","271","67203","299705","5966930","yes (554)","ambiguous_bases","ST1584-1LV","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi321","unknown (KL61)","unknown (K61)","?-","None","96.47%","KL61_07_wclQ,KL61_08_wcuQ,KL61_09_wzy,KL61_10_wclP,KL61_11_wzx,KL61_12_wcqZ,KL61_13_wcuK","unknown (O1/O2v1)","unknown (O1)","?-+","Low","95.18%","O1/O2v1_07_kfoC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-10*","-","-","-","-","-","-","ST1584-1LV","18","22","18","16","25","13*","165","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c3415b888583a","SAMN27293986","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","232","100939","370582","6041250","yes (495)","ambiguous_bases","ST1584-1LV","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi321","unknown (KL61)","unknown (K61)","?-","None","96.55%","KL61_07_wclQ,KL61_09_wzy,KL61_10_wclP,KL61_11_wzx,KL61_12_wcqZ","unknown (O1/O2v1)","unknown (O1)","?-+","Low","95.14%","O1/O2v1_07_kfoC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-10*","-","-","-","-","-","-","ST1584-1LV","18","22","18","16","25","13*","165","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34424b88583b","SAMN27293985","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","64","231786","560193","5516870","yes (295)","ambiguous_bases","ST2829","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","-","KL107","unknown (KL107)","?-*","Good","96.02%","KL107_09","O5","O5","*","High","94.12%","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-6*?","-","-","-","-","-","-","ST2829","42","22","56","139","193","61","400","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c343aad885706","SAMN11979429","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","35","368576","1069977","5358387","no","-","ST138","0","2","2","2","-","0","-","0","-","0","-","0","-","0","-","-","KL6","K6","*","Very high","96.02%","","O12","O12","none","Very high","99.07%","","-","-","-","-","-","mphA","-","-","-","-","-","-","-","-","-","-","KPC-2","OKP-B-2","-","-","-","-","-","TEM-10.v2?-45%;TEM-150*?-0%","ST138","18","22","26","23","31","13","49","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c3440b0885707","SAMN11979462","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. quasipneumoniae","strong","158","132196","291005","5764714","yes (298)","ambiguous_bases","ST3520","0","2","4","4","-","0","-","0","-","0","-","0","-","0","-","-","unknown (KL107)","unknown (KL107)","?-+*","None","87.60%","KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10","O5","O5","none","High","94.65%","","-","-","-","qnrB7^","-","mphA","-","-","-","-","-","-","-","-","SHV-5^","-","KPC-2","OKP-A-11*?","238S;240K","-","-","-","-","TEM-10.v2?-45%;TEM-104?-0%","ST3520","17","19","39","20","371","18","162","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c341473885708","SAMN11979457","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","136","118828","287628","5591672","yes (298)","ambiguous_bases","ST488","0","2","4","4","-","0","-","0","-","0","-","0","-","0","-","-","KL50","K50","?-+","Good","99.84%","KL50_09_wzx","O3b","O3b","?-","Good","99.19%","O3b_02_manB","-","-","-","qnrS1","-","mphA","-","-","-","-","-","-","-","-","SHV-12","-","KPC-2","OKP-B-6*?","238S;240K;35Q","-","-","-","-","TEM-10.v2?-45%;TEM-150?-0%","ST488","42","22","26","22","79","41","51","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
